,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Total_Stops,Price,Month,Day,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Total_Duration_hr
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3897,3,24,22,20,1,10,2.83
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,7662,1,5,5,50,13,15,7.42
2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,13882,9,6,9,25,4,25,19.0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,6218,12,5,18,5,23,30,5.42
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,13302,1,3,16,50,21,35,4.75
5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,3873,6,24,9,0,11,25,2.42
6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,11087,12,3,18,55,10,25,15.5
7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,22270,1,3,8,0,5,5,21.08
8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,11087,12,3,8,55,10,25,25.5
9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,8625,5,27,11,25,19,15,7.83
10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,8907,1,6,9,45,23,0,13.25
11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,4174,4,18,20,20,22,55,2.58
12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,4667,6,24,11,40,13,55,2.25
13,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,9663,9,5,21,10,9,20,12.17
14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,4804,4,24,17,15,19,50,2.58
15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,14011,3,3,16,40,19,15,26.58
16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1.0,5830,4,15,8,45,13,15,4.5
17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,10262,12,6,14,0,12,35,22.58
18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,13381,12,6,20,15,19,15,23.0
19,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,12898,5,27,16,0,12,35,20.58
20,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,19495,6,3,14,10,19,20,5.17
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,6955,3,21,22,0,13,20,15.33
22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3943,3,4,4,0,6,50,2.83
23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,4823,1,5,18,55,21,50,2.92
24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,7757,6,5,18,55,8,15,13.33
25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,13292,9,6,21,25,12,35,15.17
26,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,8238,1,6,21,50,3,35,5.75
27,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,7682,5,15,7,0,12,55,5.92
28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,4668,6,18,9,45,12,35,2.83
29,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0,3687,6,15,7,5,9,20,2.25
30,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.0,3687,6,18,7,5,9,20,2.25
31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,13227,1,5,9,50,23,15,13.42
32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,4423,6,4,4,0,6,50,2.83
33,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,10919,6,15,14,35,12,35,22.0
34,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,12373,5,18,7,5,12,35,5.5
35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,5894,6,27,10,35,21,0,10.42
36,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,4649,5,21,15,5,20,20,5.25
37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,6245,5,18,14,15,16,45,2.5
38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,19225,6,3,7,0,13,15,6.25
39,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,14924,3,6,7,5,19,0,11.92
40,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,9646,5,21,7,5,18,10,11.08
41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,8714,3,15,6,45,15,15,8.5
42,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,12373,5,18,20,55,19,0,22.08
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3383,6,5,11,10,13,55,2.75
44,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1.0,13062,3,21,9,0,21,0,12.0
45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3527,3,24,5,45,8,35,2.83
46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3943,5,27,4,0,6,50,2.83
47,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,4667,3,5,11,40,13,55,2.25
48,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,6117,5,15,19,0,11,5,16.08
49,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2.0,11150,6,27,23,5,19,0,19.92
50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0,7202,9,3,11,0,14,15,3.25
51,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,12121,1,5,9,35,10,55,25.33
52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,4377,3,24,22,20,1,10,2.83
53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,3943,6,18,21,15,0,15,3.0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,4483,3,4,23,55,2,45,2.83
55,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,14231,3,24,19,45,12,0,16.25
56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,17345,1,3,8,50,23,55,15.08
